slice,channel,source_page,source_url,local_path,length,sha256
222,W,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_w,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_w/resource/9c0794e9-c62b-475a-bd6d-15f61068c33c/download/ebsd-sliceimage-222_0_wl.dat,data/alloy617_nrds/eds/slice_222/dat/ebsd-sliceimage-222_0_wl.dat,1049724,2A554E2C7389F27273A36E544EB3B5B9077698D2B2D81101BA104B9B60944ACE
223,Al,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/3df317c8-2645-4771-b64c-32fafd3adc55/download/ebsd-sliceimage-223_0_alk.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_alk.dat,1049724,E9153DB6E56FB7488160836523FA17E0005C29D7277D3B7DFBDEF28760571B6E
223,CPS,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_all_elements,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_all-elements/resource/cd7e4e0d-93df-4299-88f7-39d1eb79ff6f/download/ebsd-sliceimage-223_0_cps.dat,data/alloy617_nrds/all_elements/slice_223/ebsd-sliceimage-223_0_cps.dat,2099384,BAE6574B7858FA50A862D0DA9A9BCC1C44D26E2A2844B6BCB4621B7246CAC998
223,Cl,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/80a5b21b-2326-4bb5-979f-fa344eebca3b/download/ebsd-sliceimage-223_0_clk.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_clk.dat,1049724,74E1A5D9A526350C61B2D8879D842D175F5C6C806005FF79B74507DF4ADD9C78
223,Co,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/0514ba41-ef21-4f40-b20a-3eced5b125d7/download/ebsd-sliceimage-223_0_cok.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_cok.dat,1049724,C3D36A8998594C0A53B50DB70BB6022BA86F19062599897553F9934F9F8553E7
223,Cr,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/edd6828c-1c88-46b9-b028-7c441efaaa42/download/ebsd-sliceimage-223_0_crk.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_crk.dat,1049724,1AB7EC59F274AA22F96766D4D7C20F7AFFD57E7F36FD7FBC6ED6B4C62971DBEC
223,F,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/d7eadb4f-6690-4ff1-9594-cfcf1243b5a9/download/ebsd-sliceimage-223_0_fk.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_fk.dat,1049724,88547F39AA4AB230E60D4019752EB602D746AD40E0316C7EB9A01E7BE8D84F44
223,Fe,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/5dd72f24-eadb-4b48-b22b-66c7c313de57/download/ebsd-sliceimage-223_0_fek.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_fek.dat,1049724,158A28627D38CE7B89F4FDEC30FB14A5E0D20627E65BA7C84593A7E5DB274F6F
223,Mg,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/abd89df4-10a0-42a2-893b-ee1055f577cb/download/ebsd-sliceimage-223_0_mgk.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_mgk.dat,1049724,356CDCE50E4432D5F8BFB94D32AB05BF82B1D0B0A537155F4D13751EBFFD55AB
223,Mn,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mn,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mn/resource/4579470d-a525-4550-a686-c6e1bf0ea146/download/ebsd-sliceimage-223_0_mnk.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_mnk.dat,1049724,9E3B30AE815F769A2096D0941BBEBDA7C3978EE3E0CF4A7EA9B679BA1AE1FA01
223,Mo,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mo,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mo/resource/925a307a-bb40-46f8-a900-b028de5030f4/download/ebsd-sliceimage-223_0_mom.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_mom.dat,1049724,F272305EACB937E039917D865BE0FFB5401D81A0D8849ADD4C36C56A4A6B71A6
223,Na,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_na,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_na/resource/6c94a9f1-da71-4dd3-9632-e4d4787dc24a/download/ebsd-sliceimage-223_0_nak.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_nak.dat,1049724,5D0654BA3309A1BCCF1C276F5A6D909FAD6400DD6382B866618193A010B69AB1
223,Ni,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ni,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ni/resource/79de84b3-a82c-40d1-a101-08dcba641df4/download/ebsd-sliceimage-223_0_nik.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_nik.dat,1049724,C345E74FF2F62EAC699D468E4F8AF78831A8CDAC71DC3FBE6D85EF1D5A868F36
223,O,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_o,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_o/resource/5bd861e9-954a-4fef-a30a-30daccb19df5/download/ebsd-sliceimage-223_0_ok.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_ok.dat,1049724,FB21739DDF535B03E646ABB5D809B8A239FF9D6ECCE6B4E4EA295A69AA4DADAF
223,Si,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_si,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_si/resource/31faf456-d00d-4894-b0cb-a4f095912918/download/ebsd-sliceimage-223_0_sik.dat,data/alloy617_nrds/eds/slice_223/dat/ebsd-sliceimage-223_0_sik.dat,1049724,A7F8C264FE1C755510A16E44230600427624A7D184D9BF159C86308A5EE612B1
