policy,slices,mean_morphology_composite_error,mean_front_distance_nm,mean_penetration_d95_error_nm,mean_penetration_dmax_error_nm,mean_normalized_reconstruction_rmse,mean_selected_area_fraction,mean_scan_time_s
gated_veer_4x4_mean_kappa5,30,0.09612990219420918,8925.063260924171,1630.0,1596.6666666666667,0.24551494429210355,0.2648909009153196,85.07139999999995
variogram_eer_4x4_mean_kappa5,30,0.10059856935404494,8929.55624840747,2116.1666666666665,1836.6666666666667,0.24561696049095688,0.265007506992554,85.07139999999995
uncertainty_lookahead,30,0.12537317831459854,12123.141645609587,1642.8333333333333,1586.6666666666667,0.25248621661309417,0.265007506992554,85.07139999999995
nested_veer_4x4_mean_kappa0,30,0.12782530030106282,12405.217973056697,1630.0,1566.6666666666667,0.2839460230205747,0.265007506992554,85.07139999999995
nested_band_veer_4x4_mean_kappa2,30,0.13383240691525258,12141.464945961405,2553.3333333333335,2443.3333333333335,0.2830522605544277,0.265007506992554,85.07139999999995
gated_veer_4x4_mean_kappa10,30,0.1403944189478822,11292.307200477468,4123.0,4020.0,0.24614954177628212,0.26478801320011275,85.07139999999995
