fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_1,001,gated_veer_4x4_mean_kappa10,0.182161006769061,0.00034450288312382803,0.1826904175511547,6,-0.026576939885607914
fold_1,001,gated_veer_4x4_mean_kappa5,0.1818559483706806,0.05970361412113358,0.1824164395143557,6,-0.026881998283988323
fold_1,001,nested_band_veer_4x4_mean_kappa2,0.22661126607584264,0.07148368491277694,0.2266093944622696,6,0.017873319421173733
fold_1,001,nested_veer_4x4_mean_kappa0,0.03021738561519475,0.09316375241296955,0.2272190145590736,6,-0.17852056103947417
fold_1,001,uncertainty_lookahead,0.2087379466546689,0.08604268931959391,0.0167784338478274,6,0.0
fold_1,001,variogram_eer_4x4_mean_kappa5,0.18181658601073575,0.0018160644480104669,0.1770360420718754,6,-0.026921360643933162
fold_1,011,gated_veer_4x4_mean_kappa10,0.032678498769112,0.13449511538792588,0.0321423367654912,6,0.0017008965507542481
fold_1,011,gated_veer_4x4_mean_kappa5,0.03436246190816295,0.13604498947468102,0.0293640897395904,6,0.003384859689805203
fold_1,011,nested_band_veer_4x4_mean_kappa2,0.0326065319868618,0.0017902482370630622,0.0328160276149003,6,0.0016289297685040532
fold_1,011,nested_veer_4x4_mean_kappa0,0.03150320794347725,0.08873320176687007,0.0286854463800988,6,0.0005256057251195045
fold_1,011,uncertainty_lookahead,0.03097760221835775,0.004742839758394782,0.0277304726977719,6,0.0
fold_1,011,variogram_eer_4x4_mean_kappa5,0.03436246190816295,0.13607411960007207,0.0289995561197946,6,0.003384859689805203
fold_1,021,gated_veer_4x4_mean_kappa10,0.2512338419310316,0.07701614086944192,0.2422188061809795,6,0.007338005559407279
fold_1,021,gated_veer_4x4_mean_kappa5,0.2512338419310316,0.07701614086944192,0.2422188061809795,6,0.007338005559407279
fold_1,021,nested_band_veer_4x4_mean_kappa2,0.23209261111661633,0.010191686828111914,0.2328698690556435,6,-0.011803225255007987
fold_1,021,nested_veer_4x4_mean_kappa0,0.1256532096274296,0.11250195642024746,0.2343580570559905,6,-0.11824262674419472
fold_1,021,uncertainty_lookahead,0.24389583637162432,0.00825508815488481,0.2485343707821559,6,0.0
fold_1,021,variogram_eer_4x4_mean_kappa5,0.2512338419310316,0.07701614086944192,0.2422188061809795,6,0.007338005559407279
fold_1,032,gated_veer_4x4_mean_kappa10,0.23644397875040035,0.06846910552706496,0.2533529074274712,6,-0.0016903380155331438
fold_1,032,gated_veer_4x4_mean_kappa5,0.13770363181514386,0.10817572219588777,0.0292054118601102,6,-0.10043068495078963
fold_1,032,nested_band_veer_4x4_mean_kappa2,0.022678120659109,0.09121433988771575,0.2666755359517957,6,-0.21545619610682448
fold_1,032,nested_veer_4x4_mean_kappa0,0.1215064122708877,0.11947196182217741,0.2468027757552504,6,-0.1166279044950458
fold_1,032,uncertainty_lookahead,0.2381343167659335,0.10696401338531644,0.2467583417600315,6,0.0
fold_1,032,variogram_eer_4x4_mean_kappa5,0.13770363181514386,0.10817572219588777,0.0292054118601102,6,-0.10043068495078963
fold_1,042,gated_veer_4x4_mean_kappa10,0.21061763304960723,0.0023634386121984953,0.2076424890578805,6,-0.03424527584285614
fold_1,042,gated_veer_4x4_mean_kappa5,0.22805288752130934,0.08771726307611949,0.2281000811825178,6,-0.016810021371154032
fold_1,042,nested_band_veer_4x4_mean_kappa2,0.2366121668878854,0.01528926624265353,0.2361102774461253,6,-0.008250742004577982
fold_1,042,nested_veer_4x4_mean_kappa0,0.24486290889246337,0.08651716247093397,0.2459736352831184,6,0.0
fold_1,042,uncertainty_lookahead,0.24486290889246337,0.08651716247093397,0.2459736352831184,6,0.0
fold_1,042,variogram_eer_4x4_mean_kappa5,0.2093674350357061,0.002887034491322077,0.2080954323390979,6,-0.035495473856757276
fold_1,053,gated_veer_4x4_mean_kappa10,0.0392579278022924,0.00638420870452701,0.0338894948941972,6,-0.02421187991652865
