fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_1,001,nested_veer_4x4_mean_kappa0,0.03021738561519475,0.09316375241296955,0.2272190145590736,6,-0.17852056103947417
fold_1,001,nested_veer_4x4_mean_kappa10,0.0318057625575249,0.010195600712662945,0.0114990993276956,6,-0.176932184097144
fold_1,001,nested_veer_4x4_mean_kappa2,0.0318057625575249,0.010195600712662945,0.0114990993276956,6,-0.176932184097144
fold_1,001,nested_veer_4x4_mean_kappa5,0.0318057625575249,0.010195600712662945,0.0114990993276956,6,-0.176932184097144
fold_1,001,uncertainty_lookahead,0.2087379466546689,0.08604268931959391,0.0167784338478274,6,0.0
fold_1,001,variogram_eer_4x4_mean_kappa0,0.30043642017378,0.07530176551079697,0.2240092309835924,6,0.09169847351911112
fold_1,001,variogram_eer_4x4_mean_kappa2,0.20765280001661807,0.01756075097093165,0.2078521108132402,6,-0.0010851466380508434
fold_1,001,variogram_eer_4x4_mean_kappa5,0.18181658601073575,0.0018160644480104669,0.1770360420718754,6,-0.026921360643933162
fold_1,011,nested_veer_4x4_mean_kappa0,0.03150320794347725,0.08873320176687007,0.0286854463800988,6,0.0005256057251195045
fold_1,011,nested_veer_4x4_mean_kappa10,0.017644438403799798,0.06876819103194602,0.0084808909069473,6,-0.013333163814557951
fold_1,011,nested_veer_4x4_mean_kappa2,0.020535929494308,0.06795685957358193,0.0139534122672095,6,-0.01044167272404975
fold_1,011,nested_veer_4x4_mean_kappa5,0.017644438403799798,0.06876819103194602,0.0084808909069473,6,-0.013333163814557951
fold_1,011,uncertainty_lookahead,0.03097760221835775,0.004742839758394782,0.0277304726977719,6,0.0
fold_1,011,variogram_eer_4x4_mean_kappa0,0.017245994600399148,0.005312824513123091,0.0084808909069473,6,-0.0137316076179586
fold_1,011,variogram_eer_4x4_mean_kappa2,0.01738275428758575,0.02266463705141734,0.0134493758423966,6,-0.013594847930771998
fold_1,011,variogram_eer_4x4_mean_kappa5,0.03436246190816295,0.13607411960007207,0.0289995561197946,6,0.003384859689805203
fold_1,021,nested_veer_4x4_mean_kappa0,0.1256532096274296,0.11250195642024746,0.2343580570559905,6,-0.11824262674419472
fold_1,021,nested_veer_4x4_mean_kappa10,0.2081932101544734,0.10862632946831477,0.260860917549678,6,-0.03570262621715092
fold_1,021,nested_veer_4x4_mean_kappa2,0.2377818494896674,0.0168918727485792,0.2546868314936363,6,-0.006113986881956912
fold_1,021,nested_veer_4x4_mean_kappa5,0.2081932101544734,0.10862632946831477,0.260860917549678,6,-0.03570262621715092
fold_1,021,uncertainty_lookahead,0.24389583637162432,0.00825508815488481,0.2485343707821559,6,0.0
