fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_1,002,gated_veer_4x4_mean_kappa5,0.19337519168715706,0.04089735130119004,0.2744935463149008,6,0.0733316061675895
fold_1,002,uncertainty_lookahead,0.12004358551956755,0.10308751791912373,0.0153101650627611,6,0.0
fold_1,003,gated_veer_4x4_mean_kappa5,0.18403471542685057,0.003792281746864724,0.1832136953959322,6,-0.03314059784557488
fold_1,003,uncertainty_lookahead,0.21717531327242545,0.07635404125246004,0.0124320528891018,6,0.0
fold_1,004,gated_veer_4x4_mean_kappa5,0.19070584677286734,0.05608117141530789,0.19068887397713,6,0.16976131820954385
fold_1,004,uncertainty_lookahead,0.0209445285633235,0.0027782188592815373,0.0172084478177134,6,0.0
fold_1,005,gated_veer_4x4_mean_kappa5,0.16916410266282494,0.005255201118565912,0.1691109513053144,6,0.1443725801745403
fold_1,005,uncertainty_lookahead,0.024791522488284652,0.006225908302612313,0.0122428636698808,6,0.0
fold_1,006,gated_veer_4x4_mean_kappa5,0.01079600364669425,0.0011830615717613314,0.0093118397178078,6,-0.1229733792652363
fold_1,006,uncertainty_lookahead,0.13376938291193055,0.09772050134928548,0.2314892168543305,6,0.0
fold_1,007,gated_veer_4x4_mean_kappa5,0.062494299258446254,0.18907217981458255,0.0624962045865056,6,-0.20379149213200848
fold_1,007,uncertainty_lookahead,0.2662857913904547,0.012904925825706057,0.2451302263331791,6,0.0
fold_1,008,gated_veer_4x4_mean_kappa5,0.18163570823714048,0.07444492894878535,0.0138800935251492,6,0.09383299922445298
fold_1,008,uncertainty_lookahead,0.0878027090126875,0.04985081968464255,0.0083473005952292,6,0.0
fold_1,009,gated_veer_4x4_mean_kappa5,0.2166053470672287,0.07055236666370493,0.0249644673507552,6,-0.002722250931107534
fold_1,009,uncertainty_lookahead,0.21932759799833623,0.00014604896407149301,0.2193233935859828,6,0.0
fold_1,010,gated_veer_4x4_mean_kappa5,0.17979761392956017,0.07011678695669847,0.0320063234396448,6,0.06712285994940027
fold_1,010,uncertainty_lookahead,0.1126747539801599,0.1390481416658725,0.0134341061998719,6,0.0
fold_1,012,gated_veer_4x4_mean_kappa5,0.2744933176391523,0.08099826627087237,0.160195261347362,6,0.10579826579519397
fold_1,012,uncertainty_lookahead,0.16869505184395833,0.06109882905192226,0.0087596934736504,6,0.0
fold_1,013,gated_veer_4x4_mean_kappa5,0.028696686378737152,0.0019493999003159493,0.0250759910275663,6,0.007174813147397999
fold_1,013,uncertainty_lookahead,0.021521873231339153,0.00033442418329513747,0.0222856239499272,6,0.0
fold_1,014,gated_veer_4x4_mean_kappa5,0.2942104115245231,0.22468703025925876,0.2944230847080472,6,0.13912756976582913
fold_1,014,uncertainty_lookahead,0.15508284175869397,0.003367968791321673,0.1479340508798804,6,0.0
fold_1,015,gated_veer_4x4_mean_kappa5,0.2652200187917458,0.004455065729813057,0.260203521541788,6,-0.002897988286387543
fold_1,015,uncertainty_lookahead,0.2681180070781333,0.15296209128723853,0.2460510732662287,6,0.0
fold_1,016,gated_veer_4x4_mean_kappa5,0.2612919784602742,0.0797759012680754,0.2584932236751581,6,-0.415227988267692
fold_1,016,uncertainty_lookahead,0.6765199667279662,0.20135405629661055,0.3078413266007731,6,0.0
fold_1,017,gated_veer_4x4_mean_kappa5,0.14634435470349275,0.2266623358362771,0.156351292955621,6,-0.08528205554126306
fold_1,017,uncertainty_lookahead,0.2316264102447558,0.13882633996493032,0.2315958391395052,6,0.0
fold_1,018,gated_veer_4x4_mean_kappa5,0.10900637568968635,0.06597200658471045,0.094951625314409,6,0.09808644900671015
fold_1,018,uncertainty_lookahead,0.0109199266829762,0.010564340881111965,0.0169485817965527,6,0.0
fold_1,019,gated_veer_4x4_mean_kappa5,0.051924662427749055,0.07892188657274617,0.2636074813542473,6,-0.18230658301011793
fold_1,019,uncertainty_lookahead,0.234231245437867,0.09544551762369732,0.2352174169803039,6,0.0
fold_1,020,gated_veer_4x4_mean_kappa5,0.22614337311429936,0.04869003048161585,0.0985209667078472,6,0.014158198243864856
fold_1,020,uncertainty_lookahead,0.2119851748704345,0.13062725950514556,0.214014238286881,6,0.0
fold_1,022,gated_veer_4x4_mean_kappa5,0.14727634878173312,0.14832677587815765,0.1473901921332814,6,-0.09230516908050301
fold_1,022,uncertainty_lookahead,0.23958151786223614,0.005324321376015023,0.2358244676800273,6,0.0
fold_1,023,gated_veer_4x4_mean_kappa5,0.25920454436758206,0.09757366782522861,0.2545159416463981,6,-0.007339861740546072
fold_1,023,uncertainty_lookahead,0.26654440610812813,0.1981842759749283,0.2653029626360575,6,0.0
fold_1,024,gated_veer_4x4_mean_kappa5,0.281032530103536,0.047379036069055525,0.1545771727546901,6,-0.001106372565623237
fold_1,024,uncertainty_lookahead,0.28213890266915925,0.021815279844191227,0.2546750935607503,6,0.0
fold_1,025,gated_veer_4x4_mean_kappa5,0.22435532351446974,0.03187999687814065,0.2380226838150699,6,0.09166982301492396
fold_1,025,uncertainty_lookahead,0.13268550049954578,0.12186347850949303,0.256402250206144,6,0.0
fold_1,026,gated_veer_4x4_mean_kappa5,0.13485737805881445,0.04365897536326829,0.1784019193703388,6,-0.109344581496994
fold_1,026,uncertainty_lookahead,0.24420195955580845,0.07617887216822897,0.2433609175789227,6,0.0
fold_1,027,gated_veer_4x4_mean_kappa5,0.1502180473110114,0.15269081390057326,0.2501738352977954,6,-0.10126771593734862
fold_1,027,uncertainty_lookahead,0.25148576324836003,0.0016711537874729797,0.2536871904328452,6,0.0
fold_1,028,gated_veer_4x4_mean_kappa5,0.05105087035158735,0.10242526223301442,0.2680312572200291,6,0.031715535977274445
fold_1,028,uncertainty_lookahead,0.0193353343743129,0.11801945786510934,0.2696038750376872,6,0.0
fold_1,029,gated_veer_4x4_mean_kappa5,0.0246455695983205,0.1190097783042873,0.2752442445008529,6,-0.4427344936943061
