fold,slice,policy,iteration,stage,query_count,scan_time_s,dose_proxy,selected_area_fraction,morphology_composite_error,front_mean_symmetric_distance_nm,front_hausdorff_distance_nm,front_availability_status,front_detection_correct,penetration_d95_absolute_error_nm,penetration_dmax_absolute_error_nm,normalized_reconstruction_rmse,roi_id,variogram_sill
fold_1,003,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2587587930889941,0.0124320528891018,950.0394072233782,6165.1679620266605,matched_present,True,415.0,900.0,0.2090408945500967,r0384_c0000,
fold_1,004,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.19068887397713,15152.638362688873,38419.058046235325,matched_present,True,5785.0,5400.0,0.2194778507418261,r0064_c0320,50.91072362263856
fold_1,004,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0172084478177134,1174.487570384936,10300.0,matched_present,True,715.0,1000.0,0.2237640758496777,r0128_c0448,
fold_1,005,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.1691109513053144,13983.382453323526,36804.48042779573,matched_present,True,4585.0,4300.0,0.2132045563391383,r0414_c0192,16.70314576334979
fold_1,005,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0122428636698808,1244.2664309529152,10300.0,matched_present,True,100.0,100.0,0.219808647116322,r0192_c0448,
fold_1,006,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0093118397178078,422.4400010152991,1979.2274149273485,matched_present,True,600.0,900.0,0.233802265713625,r0192_c0192,39.8001717119644
fold_5,263,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.2623641297907071,23007.581451019647,54700.0,matched_present,True,5800.0,5800.0,0.2227653186540716,r0256_c0000,
fold_1,006,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.2314892168543305,19417.516010605494,46981.3285129316,matched_present,True,6000.0,5600.0,0.2232283889408937,r0000_c0064,
fold_5,229,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0310637247291787,3410.796975263827,22800.0,matched_present,True,0.0,0.0,0.2308345176727558,r0414_c0485,
fold_5,230,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0549437877934614,6032.827899722064,52100.0,matched_present,True,0.0,0.0,0.2236452605941248,r0000_c0256,40.13358905808063
fold_5,230,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0404888968671367,4445.680876011612,52100.0,matched_present,True,0.0,0.0,0.2278724501996909,r0256_c0320,
fold_5,231,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0683217359330808,4801.726605452274,14100.0,matched_present,True,2700.0,2700.0,0.2171879981755917,r0064_c0192,40.33054135416519
fold_5,231,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.032018644033753,3515.647114906081,16600.0,matched_present,True,0.0,0.0,0.2210666014827924,r0192_c0384,
fold_5,232,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0646044615096572,4693.569873760369,13400.0,matched_present,True,2400.0,2300.0,0.222410260549482,r0414_c0320,35.09038475953482
fold_5,233,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0261339477233039,2869.507460018776,14000.0,matched_present,True,0.0,0.0,0.2229025762049218,r0414_c0384,
fold_1,003,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2587587930889941,0.1832136953959322,14031.863754473356,36732.72298972674,matched_present,True,6085.0,5600.0,0.2198549772654345,r0192_c0320,41.02844699094817
fold_3,114,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0107576209983472,1081.1867856185297,8100.0,matched_present,True,100.0,0.0,0.2103414461874035,r0414_c0320,43.92849623795704
fold_3,114,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.1483736730665865,3726.4293027111967,13887.75926634675,matched_present,True,12565.0,11500.0,0.2140433802772117,r0000_c0128,
fold_3,115,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0038654134500959,324.4223968205359,3800.0,matched_present,True,100.0,0.0,0.22889079652866,r0256_c0448,38.250022994329846
fold_3,115,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0071702961390966,787.2985160728073,4176.081301890564,matched_present,True,0.0,100.0,0.2200428715575616,r0192_c0320,
fold_3,116,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0049197105163403,540.1842146941708,4193.967648897637,matched_present,True,0.0,0.0,0.2120104534048491,r0000_c0192,41.38914360806031
fold_3,116,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0052786101213751,579.5913913269885,6295.21937981513,matched_present,True,0.0,0.0,0.2110898403810656,r0000_c0192,
fold_5,249,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0,0.0,0.0,matched_present,True,0.0,0.0,0.2111350650906537,r0256_c0064,33.49228078133306
fold_3,118,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0076163828531802,736.2788372791925,3800.0,matched_present,True,100.0,300.0,0.2197341739862539,r0320_c0448,34.64161354308173
fold_3,118,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0143952824744111,1480.6020156903446,5042.488119966171,matched_present,True,100.0,400.0,0.2192185222238991,r0000_c0256,
fold_3,119,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0100582735739266,904.3984384171462,9300.0,matched_present,True,200.0,500.0,0.2106193674674203,r0000_c0448,22.852822291873068
fold_3,119,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0955900596514676,4495.7885497311445,10602.58241939198,matched_present,True,6000.0,5600.0,0.2181372304441794,r0000_c0448,
fold_3,120,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0299986447628584,3093.851194961861,18713.14032010661,matched_present,True,200.0,500.0,0.2129639098959375,r0192_c0256,29.735334074192743
fold_3,120,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0129317798496639,1219.9094274931028,10000.0,matched_present,True,200.0,400.0,0.2109443915354666,r0256_c0448,
fold_3,121,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0113961945268044,1051.3021590431283,6094.78101001176,matched_present,True,200.0,300.0,0.2040641929485173,r0256_c0192,23.62515513894953
fold_5,248,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.2880351492191709,23526.25938426497,54800.0,matched_present,True,8100.0,8000.0,0.2199236951365254,r0128_c0384,
fold_3,121,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0752013531426263,2457.108575060367,7600.493376090792,matched_present,True,5800.0,5500.0,0.2116763065836506,r0000_c0320,
fold_3,110,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0180030663192517,1676.736681853839,9569.543824028391,matched_present,True,300.0,300.0,0.2179883656476895,r0000_c0384,
fold_3,111,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0042452084675333,366.1238897351669,2330.1722168114507,matched_present,True,100.0,100.0,0.2181266584337071,r0128_c0064,33.818396801787145
fold_3,111,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0721926448704138,2026.7524067714364,6900.0,matched_present,True,5900.0,5800.0,0.2164945657682356,r0256_c0000,
fold_3,112,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0072562346566712,696.7345653025061,5217.99664622353,matched_present,True,100.0,200.0,0.2067258983505847,r0414_c0485,31.80284167729081
fold_3,112,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0734594738620749,2165.850230055833,6900.0,matched_present,True,5900.0,5700.0,0.2250354248522681,r0128_c0256,
fold_5,249,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0622264516605108,6832.464392324093,48400.0,matched_present,True,0.0,0.0,0.2225531894124569,r0064_c0128,
fold_3,113,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2587587930889941,0.0126913635280678,1293.5117153818508,8784.939114188552,matched_present,True,100.0,100.0,0.2131274640524733,r0000_c0128,15.740197852750592
fold_3,113,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2587587930889941,0.0152709781231005,1376.753397916445,8800.0,matched_present,True,300.0,100.0,0.2166868631811456,r0256_c0320,
fold_3,122,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.1926944980024383,15357.855880667732,43242.17741233666,matched_present,True,5800.0,5600.0,0.2076309532788427,r0256_c0192,28.352571300786764
fold_3,122,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0190422138539633,1590.8350811651749,9400.0,matched_present,True,500.0,200.0,0.2116730759162068,r0192_c0384,
fold_3,123,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0120033549132581,1217.9683694757505,8906.034951649353,matched_present,True,100.0,100.0,0.2398007642951322,r0414_c0384,34.00098619933839
fold_3,123,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0099496797826639,892.4748401365013,4518.519762045971,matched_present,True,200.0,100.0,0.2168542123689074,r0128_c0256,
fold_3,124,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.225672733833358,19078.866174902712,48500.0,matched_present,True,5700.0,5400.0,0.2035742500728184,r0256_c0128,35.60273397892804
fold_3,124,uncertainty_lookahead,17,uncertainty_lookahead_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.2320122657267667,19874.946776798985,53900.0,matched_present,True,5600.0,5500.0,0.2066058615872875,r0064_c0000,
fold_5,248,gated_veer_4x4_mean_kappa5,17,gated_veer_4x4_mean_kappa5_adaptive,17,85.07139999999998,6.963200000000002,0.2653436068622295,0.0684476247729676,7515.549200071851,53700.0,matched_present,True,0.0,0.0,0.2196362847511164,r0128_c0064,36.398824274259056
